5	0.0000214271
6	0.0000214271
10	0.0000068683
13	0.0000050728
20	0.0000108159
27	0.0000425218
31	0.0000743859
34	0.0000427699
38	0.0000053967
41	0.0000054681
52	0.0000005573
55	0.0000033879
62	0.0000152663
66	0.0000228020
73	0.0000129279
76	0.0000030124
94	0.0000071703
132	0.0000030990
164	0.0000001516
227	0.0000007475
356	0.0000006501
437	0.0000012296
731	0.0000010453
741	0.0000006937
745	0.0000048197
780	0.0000048197
787	0.0000005652
822	0.0000017204
850	0.0000022365
864	0.0000005198
892	0.0000008909
951	0.0000007961
1025	0.0000009642
1095	0.0000009642
1102	0.0000003683
1249	0.0000004206
1308	0.0000007809
1315	0.0000045896
1350	0.0000045896
1357	0.0000006843
1392	0.0000003557
1452	0.0000006741
1476	0.0000008623
1822	0.0000007097
1868	0.0000009226
1917	0.0000008846
1924	0.0000171916
1959	0.0000171916
1966	0.0000013761
2000	0.0000017890
