5	0.0000214486
6	0.0000214271
10	0.0000068683
13	0.0000050728
20	0.0000108159
27	0.0000425218
31	0.0000743859
34	0.0000427699
38	0.0000043174
41	0.0000054681
45	0.0000023662
52	0.0000005573
55	0.0000033879
59	0.0000085213
66	0.0000228020
69	0.0000129764
73	0.0000129279
76	0.0000030124
83	0.0000047555
97	0.0000008794
104	0.0000108136
139	0.0000006791
160	0.0000001949
188	0.0000001117
213	0.0000004360
265	0.0000009487
269	0.0000004820
297	0.0000001142
339	0.0000003292
374	0.0000005001
426	0.0000005604
437	0.0000012296
479	0.0000008849
486	0.0000004324
531	0.0000003280
577	0.0000010164
629	0.0000011264
643	0.0000006500
689	0.0000006347
724	0.0000013589
741	0.0000006937
745	0.0000062657
783	0.0000042081
787	0.0000005652
822	0.0000017204
822	0.0000022365
853	0.0000011623
857	0.0000005087
892	0.0000008909
986	0.0000007961
1035	0.0000003829
1042	0.0000012535
1081	0.0000007730
1084	0.0000004788
1112	0.0000003683
1259	0.0000003235
1305	0.0000005038
1312	0.0000015433
1315	0.0000059665
1354	0.0000034241
1357	0.0000008896
1371	0.0000004589
1462	0.0000005534
1480	0.0000009662
1543	0.0000006647
1581	0.0000003502
1616	0.0000003034
1682	0.0000007459
1686	0.0000002226
1805	0.0000003022
1850	0.0000009226
1885	0.0000005510
1917	0.0000011500
1920	0.0000063419
1924	0.0000223491
1959	0.0000171916
1962	0.0000048091
1966	0.0000013761
2000	0.0000017890
